Deposit,2067968864,3849,2025-04-29T20:51:04.945213,Credit
Withdrawal,2067968864,2358,2025-04-30T20:51:04.952483,Debit
Deposit,2067968864,1111,2025-05-01T20:51:04.952645,Credit
Withdrawal,2067968864,1749,2025-05-02T20:51:04.952664,Debit
Deposit,2067968864,1161,2025-05-03T20:51:04.952679,Credit
Withdrawal,2067968864,8683,2025-05-04T20:51:04.952691,Debit
Deposit,2067968864,5022,2025-05-05T20:51:04.952703,Credit
Withdrawal,2067968864,3434,2025-05-06T20:51:04.952719,Debit
Deposit,2067968864,7714,2025-05-07T20:51:04.952729,Credit
Withdrawal,2067968864,7498,2025-05-08T20:51:04.952739,Debit
Deposit,2067968864,8641,2025-05-09T20:51:04.952749,Credit
Withdrawal,2067968864,7108,2025-05-10T20:51:04.952759,Debit
Deposit,2067968864,8299,2025-05-11T20:51:04.952769,Credit
Withdrawal,2067968864,2366,2025-05-12T20:51:04.952779,Debit
Deposit,2067968864,2836,2025-05-13T20:51:04.952791,Credit
Withdrawal,2067968864,2345,2025-05-14T20:51:04.952801,Debit
Deposit,2067968864,1406,2025-05-15T20:51:04.952811,Credit
Withdrawal,2067968864,1349,2025-05-16T20:51:04.952824,Debit
Deposit,2067968864,9392,2025-05-17T20:51:04.952834,Credit
Withdrawal,2067968864,9894,2025-05-18T20:51:04.952844,Debit
